CO.GT, NO.GT, T, RH, AH
1.4,0,29.2,29.1,1.1586
1.3,0,29.2,28.6,1.1423
1.4,0,29.4,28.3,1.1434
1.2,0,29.8,28,1.1558
1.3,0,30.1,26.7,1.1217
1.5,0,30.1,27.2,1.1406
2.3,0,29.6,27.5,1.1229
2.6,0,29.6,27.7,1.1278
2.9,0,28,30.1,1.1226
1.8,0,26.8,33.8,1.1723
1.3,0,25.7,35.8,1.16
1.3,0,25.4,35.2,1.1255
1.2,0,25,37.3,1.1614
1.2,0,24.6,40.5,1.2362
0.8,0,24.2,43.8,1.3057
0.6,0,24,43.7,1.2876
0.6,0,21.9,48.3,1.2522
0.6,0,22.4,47.2,1.2593
0.7,0,22.9,46.5,1.2861
1.3,169,23.1,47,1.3122
2.5,231,23.7,46.2,1.3376
3.4,232,25.8,41.9,1.3688
2.1,145,27.3,38.3,1.3669
2.2,170,31,29.1,1.2885
1.7,214,31.6,25.5,1.1638
2.1,0,32.5,21.2,1.0173
2.2,0,31.7,20.5,0.9428
1.4,0,31.5,21.5,0.9768
1.4,0,31.6,20.8,0.9562
1.6,0,32.4,19.4,0.9279
2.3,0,31.7,20.3,0.9336
3.3,0,31.1,21,0.9337
4.1,0,28.9,25.4,0.9933
3.3,0,27.4,30.8,1.1112
2.2,0,26.3,34.1,1.1453
0,0,25.4,35.2,1.1288
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,22.7,33,0.8987
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,-200,-200,-200
0,0,-200,-200,-200
3.4,0,-200,-200,-200
4,477,32.4,19.8,0.9484
4.7,502,29.9,22.3,0.9235
3.8,420,28.2,24.8,0.936
2.8,344,26.8,28.9,1.0019
2.6,307,25.1,32.3,1.0131
2,251,25.4,30.5,0.9722
1.4,180,24.9,28.3,0.8775
1.2,141,23.2,30.5,0.8558
0.6,105,22.3,33.6,0.8959
0.3,0,23,33,0.9184
0.2,74,21.4,35.7,0.8982
0.4,91,21.7,33.4,0.8545
0.6,143,20.3,35.5,0.8342
3,553,19.7,37.5,0.8501
3.2,542,21,35.6,0.8736
3.5,590,25,28.9,0.9025
3.1,590,31,21.9,0.9708
2.2,387,34.9,18.5,1.0189
1.7,252,37.1,15,0.9297
2,310,35,17.3,0.9542
2.5,396,35.1,17.5,0.9733
2.4,329,35.4,16.6,0.9385
2.9,393,38.4,13.8,0.9221
4.2,522,37.6,14.5,0.9277
5.4,631,35.2,16.6,0.9242
4.3,435,31.2,25.5,1.1379
3.6,407,29.3,30.7,1.229
2,255,28.3,30.1,1.1392
1.5,180,27.4,31.5,1.133
1.5,186,26.2,35.7,1.1929
1.2,147,25.2,38.1,1.2049
1,101,24.4,39.1,1.1784
0.5,69,23.7,39.1,1.1289
0.5,0,24.2,38.5,1.1491
0.4,49,24.5,38.5,1.1688
0.5,91,22.4,43.5,1.1624
0.7,144,22.3,43.8,1.1631
2.4,430,21.4,45.8,1.1515
4.1,606,22.9,41.3,1.1383
3,519,26.6,30.3,1.0378
2,353,30.3,23,0.977
2.5,429,32.8,18.9,0.9234
2.4,345,34.3,17.7,0.9416
2.6,417,33.3,18.9,0.9536
1.9,276,33,20.1,0.9959
2.1,280,33.6,19.6,1.0029
2.5,365,34.9,18.4,1.0106
2.7,363,33.4,20.3,1.027
3.3,393,31.6,22.7,1.041
3.2,385,29.2,26.9,1.0709
2.6,307,27.7,30.1,1.0991
1.4,194,27.1,31,1.0991
1.6,205,26,33.4,1.1071
1.7,223,25.1,35.7,1.1222
1.6,176,24.3,38.5,1.1525
0,0,23.4,40.7,1.1551
0,0,23.2,41.2,1.1561
0,0,23.6,40.5,1.1667
0,0,23.5,40.9,1.1677
0,0,20.5,48.4,1.1557
0,0,20.7,48.4,1.1663
0,0,19.9,50.8,1.1694
0,0,21.3,47.2,1.1825
0,0,24,40.8,1.1993
0,0,28.7,30.3,1.1769
0,0,31.9,24.7,1.1477
0,0,33.8,21.9,1.1331
0,0,32.7,22.7,1.1044
0,0,33,21.3,1.0512
0,0,33.9,21.2,1.0989
0,0,35.9,20.3,1.1845
0,0,34.2,22.6,1.197
0,0,32,27.3,1.2752
0,0,29.3,32.6,1.3105
0,0,27.2,38,1.347
0,0,26.1,41.1,1.3705
0,0,25.3,44.6,1.4161
0,0,24.6,47.2,1.4424
0,0,24.1,48.8,1.4412
0,0,23.6,50.4,1.447
0,0,22,55.8,1.4585
0,0,22.4,53.6,1.4379
0,0,21.6,55.8,1.4228
0,0,21.8,55.2,1.4184
0,0,21.7,55.4,1.4192
0,0,20.6,59.8,1.435
0,0,22.1,55.3,1.4495
0,0,24.8,48.2,1.4883
0,0,27.9,43.4,1.6017
0,0,30.1,38.5,1.6212
0,0,28.2,48.6,1.8253
0,0,24.8,70.4,2.1766
0,0,27.8,49.4,1.8209
0,0,25.4,59.9,1.9168
0,0,26.1,66.8,2.231
0,0,28,53.2,1.981
0,0,27.4,51.4,1.8404
0,0,25.7,55.8,1.8149
0,0,24.6,60.3,1.8363
0,0,24.2,61.6,1.8381
0,0,23.8,63.5,1.8495
0,0,23,64.8,1.802
0,0,23,63.3,1.7589
0,0,22.8,63.3,1.7355
0,0,21,68.6,1.6873
0,0,20.4,70.7,1.6734
0,0,19.4,73.4,1.6417
0,0,19.5,72,1.6118
0,0,19.7,70.3,1.5925
0,0,20.4,66.7,1.577
0,0,21.8,61.8,1.5966
0,0,23,60.2,1.6652
3.1,475,25.4,53,1.6963
2.9,395,30,41.6,1.7324
3,353,32.6,34.8,1.6872
3,397,32.2,34.2,1.6145
2.2,274,32.1,33.5,1.569
2,505,32.6,31.8,1.5361
2.3,275,35.2,25.2,1.4111
3.1,360,34.3,24.7,1.3154
0,0,31.5,29.9,1.3638
6.2,597,29,36.6,1.4452
4.7,728,27.1,42.2,1.4949
3,891,26.1,46.4,1.5445
2.1,346,25.1,49.4,1.548
1,98,26,46.4,1.5375
0.8,144,24.7,49.2,1.5116
0.7,110,24.8,49,1.5092
0,0,23.5,52.6,1.5035
0,0,20.8,62.1,1.5044
0,0,19.9,65.5,1.5078
0,0,20.6,62.9,1.5088
0,0,21.3,59.4,1.4918
0,0,22,58.3,1.5199
0,0,23.2,55.4,1.5559
0,0,26.5,50.2,1.713
0,0,29,45.5,1.7976
0,0,30.1,42,1.7602
0,0,32.3,35.9,1.7067
0,0,33.2,33.8,1.69
0,0,34,33.6,1.7591
0,0,29.9,45.6,1.8942
0,0,27.7,53.7,1.967
0,0,28,52.7,1.9604
0,0,28.6,48.2,1.8616
0,0,24.8,61.6,1.9067
0,0,20.3,77.2,1.8204
0,0,19.7,82.5,1.8674
0,0,20.6,78.8,1.8885
0,0,19.2,87.2,1.9195
0,0,20.5,81.5,1.936
0,0,21.4,74,1.8683
0,0,20.5,78.2,1.8678
0,0,20.7,77.8,1.8764
0,0,20.5,78,1.8636
0,0,20.6,76.2,1.8272
0,0,20.1,77.4,1.802
0,0,20.9,73.3,1.787
0,0,21.2,72.3,1.8007
0,0,22.5,68.9,1.8511
0,0,23.7,64.5,1.8682
0,0,23.2,68.4,1.9243
0,0,23.5,69.2,1.9776
0,0,24.1,65.5,1.9371
0,0,24.2,65.6,1.9501
0,0,24.6,63.9,1.9459
0,0,26.3,56.5,1.9018
3.3,341,26.9,53.1,1.8557
6.1,622,26.5,50.8,1.7334
6.7,615,25.1,55.8,1.7511
4.4,443,23.9,58.9,1.7276
1.9,219,23.1,62.8,1.7562
1.8,203,22.1,67.3,1.7671
1.5,165,22.1,66.5,1.7441
1.6,339,21.1,70.1,1.7366
0.8,103,21.9,67.1,1.7394
0.5,74,21.7,67.4,1.7262
0.7,0,20.2,73.8,1.7229
0.6,72,19.1,76,1.6668
0.9,180,19.4,75.4,1.6802
1.4,239,19.7,74.4,1.6829
4.2,664,19.9,74.3,1.7083
4.1,525,20.4,72.8,1.7198
3.6,543,21.6,67.7,1.7254
2.5,390,22.9,59.1,1.633
1.3,217,18.7,73.1,1.5608
1.7,248,21.1,58.3,1.4444
2.1,333,23.3,47.1,1.3281
1.7,279,22.9,47.9,1.3208
1.9,339,23.3,46.2,1.301
2.3,315,23.7,45.4,1.315
3.3,365,23.8,46.1,1.3373
3.5,338,23,49.3,1.3689
3.6,318,21.9,53.1,1.3787
2.9,302,21.3,54.8,1.3742
2,214,21.2,55.2,1.3699
1.9,0,21.4,54.8,1.3813
1.5,0,20.8,57.2,1.3925
1.1,363,21.3,55.8,1.3974
0.8,178,21.4,52.1,1.3125
0.5,55,20.6,56.6,1.3583
0.4,0,20,59.1,1.3694
0.3,32,19.7,61.9,1.4017
0.3,35,19.6,59.1,1.3346
0.5,84,19.8,56.7,1.2941
2.4,456,20.2,55.6,1.3043
2.2,342,19.7,57.8,1.3112
1.4,239,20.2,53.1,1.2442
1.6,337,22,47,1.2259
1.6,351,23.5,41.6,1.1884
1.6,209,22.8,41.8,1.1417
2.1,257,23.4,40.4,1.15
1.1,169,23.2,42.8,1.2017
1.6,216,23.6,43.2,1.2433
2.4,303,23.9,40.8,1.1937
2.9,320,23.6,42.8,1.23
2.7,310,23.2,43.3,1.2161
3.1,341,22.8,42.5,1.1608
2.2,272,22.3,42.2,1.1209
1.5,229,22.1,43,1.1271
1.2,168,22.2,42.7,1.1237
1.3,173,22.1,42.8,1.1265
1.4,186,22.1,43.5,1.1443
0.9,112,21.5,45.6,1.1528
0.7,79,21.1,44.5,1.098
0.6,0,20.4,47.1,1.1178
0,62,20.6,45.9,1.0993
0.5,58,20.2,46.7,1.0899
0.8,122,20.1,47.8,1.1144
1.2,173,20,50.7,1.1724
1.1,176,20.7,49.7,1.197
1.6,233,24.3,39.5,1.1842
1.4,210,25.4,34.8,1.1119
1.2,178,26.6,30.7,1.0501
1.4,189,27.7,28.1,1.0272
1.6,210,27.6,28.7,1.0406
1.1,162,27.6,29.2,1.0594
1.1,137,28.1,28.6,1.0715
1.3,165,29.1,26.8,1.0648
1.5,204,28.4,28.3,1.0798
2,266,26.6,32.1,1.102
2.4,299,25.3,35.3,1.1262
2,234,24.7,37.1,1.1397
1.5,181,23.5,40.6,1.1588
1.7,210,22.8,43.4,1.1915
2.5,304,22.2,47.9,1.2626
2.2,255,21.3,50.5,1.2652
1.4,149,20.6,53.2,1.2742
1.2,112,19.6,56.6,1.2797
1.2,0,18.8,59.8,1.2847
0.9,90,18.8,59.5,1.2758
0.5,46,19.3,57,1.2603
0.6,76,18.2,60.8,1.2567
1,139,16.8,66.8,1.2721
1.3,179,18.6,60,1.2757
1.7,224,22.2,48,1.2678
2.2,272,26.5,35.7,1.2149
2.1,251,30,28.5,1.1883
2.2,250,32.2,24.7,1.1696
2,178,29.6,28.6,1.1628
2,137,29.8,28.5,1.1809
1.2,119,31.1,26.1,1.163
1.8,193,34.6,22.4,1.212
4.3,329,33.2,25.4,1.2722
3.8,413,30,31.4,1.3074
4.4,489,27.5,38.1,1.3756
3.8,470,26.2,42.5,1.423
1.9,228,24.7,46.4,1.4206
1.7,169,23.6,50,1.4383
1.8,189,22.7,53.6,1.4632
1.1,100,22.7,53.8,1.4666
0.8,71,22.8,53,1.4577
0.7,52,21.4,57.6,1.4469
0.6,0,19.9,62.3,1.4363
0.5,57,19.5,63.5,1.4269
0.5,69,20.2,60.8,1.4243
0.9,126,19.4,63.5,1.4139
3.5,376,18.7,65.6,1.4039
0,0,20.1,60.6,1.4062
5.7,737,23.5,49.7,1.4156
3.5,481,26.4,41.9,1.4237
3.7,425,29.9,34,1.4096
3.1,330,31.5,30.8,1.4017
3,303,30.2,30.2,1.2744
2.6,283,30.5,29.3,1.2612
2.4,264,31.8,27.4,1.2673
2.6,280,34.3,23.2,1.2326
5,505,34.1,23,1.2081
5.6,566,30.5,29.2,1.2585
6.5,681,28.1,32.4,1.2173
4.1,448,26.5,31.7,1.0787
2.1,231,24.8,33.7,1.0377
2,230,23.9,38.1,1.1123
1.4,146,23,43,1.1897
0.8,77,23.5,44.7,1.2755
0.8,82,22.3,47.7,1.2643
0.6,55,22.1,49.8,1.3094
0.5,0,21.8,51.4,1.3272
0.4,42,20.8,55.9,1.3581
0.6,102,18.8,63,1.3582
1.4,231,18.3,65.5,1.3686
5.6,699,18.2,66.1,1.3679
7.3,738,19.6,60.7,1.3713
5.3,665,22.6,51.4,1.392
4.4,598,25.8,44.2,1.4512
3.1,340,28.5,39,1.4928
3.3,374,30.1,35.1,1.4782
3.8,401,29.4,36.4,1.4718
2.3,275,29.2,37.9,1.5116
2.6,278,30.5,34.9,1.5015
3.2,342,31.5,31.4,1.431
5,479,31.2,31.4,1.3987
5.6,553,28.5,37.2,1.4282
5.4,531,26.7,42.3,1.4618
4.4,428,24.8,49,1.5092
2.4,229,23.6,53.6,1.5374
1.5,145,23,55.8,1.548
1.3,112,22.1,58.4,1.5393
1.1,99,22.6,56.3,1.5233
1,98,21,61.3,1.5031
0.6,54,23,54,1.501
0.5,0,19.8,65.3,1.4894
0.6,59,18.3,70.8,1.4794
0.8,162,18.1,72.5,1.4876
1.5,268,18.3,71,1.4807
4.1,531,18.5,68.9,1.4565
5.5,517,20.1,62.7,1.461
5.5,701,23.5,52,1.4833
3.7,510,26.8,42.7,1.4864
3.3,415,29.1,36.7,1.4543
2.5,243,30.8,32,1.4014
2.6,267,27.9,37,1.372
2.2,233,28.5,37.3,1.4291
2.6,295,30.2,32.9,1.3865
2.9,309,32.9,27.7,1.3622
5,506,32.2,28.8,1.3624
5.1,479,28.8,39,1.5203
5.2,460,26.7,43.3,1.4881
3.8,363,24.6,54,1.6461
2.2,213,23.4,59.9,1.6992
2.1,183,22.5,62.6,1.6883
1.8,163,22.9,62,1.7127
1.6,152,22.2,64.9,1.719
1.4,104,21.4,68.5,1.7261
0.8,61,22.2,63,1.6673
0.5,0,22.4,59.9,1.6069
0,54,21.1,63.8,1.5817
0.5,84,22.9,57.5,1.5879
0.9,132,21.3,63.2,1.5794
3.2,422,21.3,63.5,1.5941
2.8,282,23.7,54.4,1.5765
2.7,293,25,50.8,1.5903
2.4,334,26.3,48.1,1.6199
2.7,324,26.4,47.3,1.6006
2.8,294,29.3,39.5,1.5855
2.9,273,29,39.6,1.5581
2.6,275,29.8,38,1.5642
2.6,282,30.4,37.2,1.588
3.2,323,31.5,34.9,1.5903
4.6,442,31.6,34.8,1.5925
4.9,431,29,40.5,1.5949
4.7,402,27.2,45.9,1.6302
3.3,313,26.2,48.7,1.6256
2.3,228,25.1,50.5,1.584
2.1,218,24.1,50.7,1.4959
1.7,179,22.5,53.7,1.4486
1,97,22.7,53.7,1.458
0.9,83,21.5,57.9,1.4658
0.7,80,22.3,55.8,1.4828
0.4,0,22.7,53.8,1.4673
0.4,66,21.1,59.9,1.4789
0.5,109,20.4,63,1.4946
1.3,232,20.8,62.2,1.5119
3.5,535,21.3,61.6,1.5452
5.5,684,21.9,60.2,1.56
5.6,803,23,56.4,1.5614
3.4,539,25.1,49.5,1.5572
3.2,364,26.6,44.3,1.5229
3.7,422,26.2,46,1.5422
4.6,483,25.4,48.7,1.5594
4.2,496,25.6,48.3,1.558
3.3,403,25.7,47.8,1.5548
2.7,282,24.9,49.2,1.5251
2.2,268,18.3,75.4,1.5682
2.8,306,16.3,73.9,1.3601
2.9,293,15.6,75.7,1.3345
2,240,15.4,76.6,1.3334
0.7,93,14,75.4,1.1988
0.6,99,14.9,60.5,1.0213
1.2,55,15.5,50.9,0.888
1.2,19,15.6,50,0.8773
1.1,26,15.4,53.6,0.9326
0.6,26,15.4,53.9,0.9334
0.3,0,15.3,52.4,0.9017
0.3,42,15.3,53.1,0.9181
0.3,32,15.4,53.7,0.9295
0.4,25,15.5,53.3,0.9308
0.6,28,15.4,52.7,0.9178
0.7,41,15.7,51.1,0.9056
1,130,16.9,47.7,0.9142
1.1,173,18.2,41.9,0.8674
1.5,168,19.1,37,0.8104
1.4,51,19.3,34.8,0.771
1.4,31,19.8,31.2,0.7127
1,41,19.8,31.1,0.7104
0.9,41,20.2,28.6,0.6717
1.1,54,22.1,24.8,0.6514
1.3,112,21.1,27.7,0.6853
1.8,178,20.1,30.3,0.7045
2.4,218,19.5,33,0.7384
2.7,241,19.3,32.3,0.7163
1.7,223,18.4,33.2,0.6975
2.2,279,17.8,36.5,0.7366
2.8,330,17.8,39.9,0.8035
2.4,330,17,43,0.8242
2.5,341,15.5,52.2,0.9136
1.4,205,15.6,51.9,0.9135
1.4,0,13.5,59.4,0.9176
0,130,13.4,59.9,0.9173
0.9,102,12.5,63.2,0.9146
0.6,79,13.6,57.6,0.8941
1,148,12.2,63.2,0.8964
1.6,261,14.6,56.4,0.9319
0.9,107,19.8,38.6,0.8831
0.9,103,21.6,33.4,0.8519
1,122,22,32.2,0.8407
1,127,22.7,30.2,0.8217
0.9,110,22.3,30.4,0.8063
0.9,98,22.1,30.5,0.7981
0.9,146,22.1,29.5,0.7761
0.9,119,23.4,27.1,0.7681
2.7,234,23.1,27,0.7538
2.2,261,21.5,31.4,0.7943
3.3,371,20.3,35.5,0.833
2.1,266,19.6,36.3,0.8193
1.8,268,18.7,39.7,0.8482
1.9,294,18,42.7,0.8745
2.3,303,17.1,47.6,0.9208
1.9,241,16.6,51.3,0.9634
1.3,142,15.9,55.2,0.9881
1,110,14.9,58.9,0.9891
0.6,0,14.1,61,0.9799
0.6,104,14,62.6,0.9948
0.9,179,14.1,61.7,0.9844
1.5,361,14.4,60.3,0.9802
5.5,799,15,57.7,0.9778
4,614,16.9,50.3,0.958
1.8,275,19.7,40.2,0.9108
1.9,325,22.2,33.6,0.8886
1.7,327,23.7,29.6,0.8537
1.6,252,21.9,30.7,0.7961
1.9,226,22.3,29.5,0.7838
1.6,230,23.8,27,0.7845
1.8,244,23.3,28.3,0.8012
2,251,24.2,27.2,0.8128
3.1,346,25.1,25.8,0.8065
3.9,407,22.3,29.2,0.7773
4.3,490,20.8,32.5,0.7873
3.5,434,19.1,36.8,0.8066
2.4,345,18.1,39.9,0.8232
1.5,192,17.4,42.8,0.8463
1.3,157,16.7,46.6,0.8793
1,148,17.1,46.8,0.9054
0.8,105,15.3,51.9,0.8982
0.5,141,15,52.8,0.8929
0.4,0,14.4,54.5,0.8887
0.5,107,12.8,59.8,0.8801
0.7,166,11.9,62.7,0.8726
1.2,241,12.1,62.6,0.8825
2.4,368,13.5,58.2,0.8944
4.3,498,14.4,55.7,0.9087
4.1,641,17.8,45.7,0.9224
3.7,667,21,37.2,0.9155
3.4,550,24.5,29.8,0.9008
3.8,483,26.4,26.4,0.8969
4.1,524,25.2,26.8,0.8451
3.4,481,26.1,24.8,0.8283
2.3,305,26.2,24.4,0.8174
3.2,396,28.9,21.3,0.8382
4.8,501,28,23.3,0.8681
6.7,702,24.7,27.9,0.8559
7.5,755,23,33.6,0.9302
4.5,524,20.9,45.8,1.1159
2.1,247,19.8,48.6,1.113
1.5,196,19.8,47.7,1.0885
1.1,135,18.6,49.1,1.0435
1.1,146,17.2,53.9,1.0498
0.9,106,16.3,56.8,1.047
0.5,70,17.4,53.4,1.0541
0.4,0,15.5,58.8,1.0309
0,62,14.6,62.1,1.0236
0.4,60,17.1,52.5,1.013
0.7,92,15.2,58.3,0.9986
2,277,14.9,59.2,0.9985
4.2,600,15.1,59,1.0086
5.2,693,19,47.8,1.0434
3.8,617,22.4,38.8,1.04
3.7,569,25.4,33.3,1.0679
3.4,409,27.2,30.4,1.081
3.1,335,25.5,34.8,1.1152
2.4,290,26.4,28.5,0.9658
2.8,312,27.7,25.1,0.9158
3.6,440,28.6,23.2,0.8917
4,450,27.2,26.3,0.9317
5.6,578,25.3,33,1.0473
6.3,615,23.2,36.9,1.0346
4.7,536,21.6,43.3,1.1019
1.9,238,21.1,44.8,1.1088
1.9,249,19.7,49.3,1.1148
1.2,150,20.3,47.8,1.1281
0.9,108,19.4,50.3,1.1201
0,0,18.3,53.1,1.1056
0,0,17.5,56.1,1.1103
0,0,19.2,50.3,1.1087
0,0,16.6,59.6,1.117
0,0,17.5,57.1,1.1311
0,0,17.6,57.6,1.1471
0,0,18,57,1.1665
0,0,18.5,55.9,1.1779
0,0,18.6,57.2,1.2146
0,0,20.2,53,1.2407
0,0,21.3,50.1,1.2539
1.7,0,24.6,42.8,1.3053
1.7,223,24.6,44.1,1.3477
2.2,267,25.6,43.4,1.4049
2.8,308,26.1,42.6,1.4172
3.9,422,25.8,44.8,1.4644
6.5,623,25.4,47.9,1.5346
6.3,572,24.6,50,1.5241
5.7,514,23.6,54.4,1.5687
4.4,414,22.6,59.5,1.6155
1.6,143,22.1,61.3,1.6133
1.5,147,22.1,61.3,1.6053
1.7,159,21.1,64.7,1.5956
1.9,206,20.3,66.4,1.5591
1.6,140,19.4,69.3,1.5418
1.3,132,19,70.8,1.5417
0.8,0,20.2,65.8,1.5442
0.6,81,19.8,67.2,1.5322
0.7,120,19,70.3,1.5308
1.6,279,18.8,71.8,1.5372
2.9,392,20.2,66.3,1.555
4.1,433,20.8,64.3,1.563
3.7,531,22.3,59.3,1.5705
3.6,619,23.2,56.6,1.5929
3.4,522,23.8,54.7,1.587
3.7,505,23.5,56.2,1.6048
4.1,465,23.9,54.4,1.5963
3.2,383,-200,-200,-200
2.4,278,25.4,47.4,1.517
3.4,372,26.4,45.4,1.54
5.6,540,25.8,46.9,1.5375
0,0,25.3,49.6,1.5805
0,0,24.2,54.3,1.6117
0,0,22.8,58.1,1.5951
0,0,21.5,63.2,1.5993
0,0,21.3,63,1.5798
0,0,20.8,64.1,1.554
0,0,20.6,64,1.5346
0,0,20.6,63.4,1.519
0,0,20.4,64.4,1.522
0,0,21.3,61,1.529
0,0,20.5,64,1.5247
0,0,20.3,65.3,1.5321
0,0,20.1,65.9,1.5321
0,0,20.2,65.6,1.5368
0,0,21.1,62.8,1.5481
0,0,22.5,57.5,1.5518
0,0,24.2,51.9,1.5426
0,0,25.2,48.9,1.5437
0,0,25.8,47.8,1.5662
0,0,25.7,49.2,1.5988
0,0,25.8,49.6,1.6213
0,0,25.7,48.8,1.5913
0,0,26.5,45.9,1.5626
0,0,25.4,48.9,1.565
0,0,24.4,52.5,1.583
0,0,23.9,54.6,1.5936
0,0,22.9,57.9,1.5958
0,0,22.1,61.1,1.6012
0,0,20.8,65.6,1.5898
0,0,21.7,60.8,1.563
0,0,21.1,62.8,1.5505
0,0,20.7,63.2,1.524
0,0,21.2,61.5,1.5241
0,0,20.3,64.6,1.518
0,0,20.2,64.4,1.5035
0,0,20.1,65.3,1.5153
0,0,19.9,66,1.5141
0,0,19.8,66.4,1.5145
0,0,20.4,64.1,1.5178
0,0,21.6,60.8,1.5496
0,0,23.5,54.5,1.5553
0,0,25.7,46.6,1.5105
0,0,26.6,43.7,1.5031
0,0,27.4,41.8,1.5056
0,0,27.4,42.8,1.5344
0,0,27.1,43.3,1.5255
0,0,26.9,44.4,1.551
0,0,26.9,44.4,1.5538
0,0,24.7,51.9,1.5868
0,0,23.7,55.6,1.6074
0,0,22.7,59.6,1.6261
0,0,21.9,61.4,1.5946
0,0,22,59.8,1.562
0,0,20.5,64.9,1.5473
0,0,19.8,66.9,1.5277
0,0,18.4,71.6,1.4997
0,0,18.9,68.6,1.4818
0,0,17.8,72.3,1.4546
0,0,17.1,73.9,1.4262
0,0,17.7,70.3,1.4088
0,0,17.1,71.8,1.3936
0,0,18.3,67.5,1.4044
0,0,18.5,67,1.4135
0,0,19.9,61.7,1.4193
0,0,22.9,52.6,1.4519
0,0,24.2,49,1.4586
0,0,25.8,44.7,1.459
0,0,26,44.5,1.4731
0,0,27.1,40.2,1.4217
0,0,27.4,39.8,1.4318
0,0,28.9,36.3,1.4291
0,0,28.4,37.5,1.4251
0,0,26,43.9,1.4562
0,0,24.3,49.6,1.486
0,0,23.3,53,1.4939
0,0,22.6,55.1,1.4899
0,0,21.2,59.3,1.4787
0,0,20.6,60.9,1.4642
0,0,20,63.1,1.4592
0,0,19.7,63.4,1.4383
0,0,20.8,58.8,1.4305
0,0,17.8,69.8,1.4058
0,0,18.8,65.3,1.4023
0,0,17.6,69.5,1.3889
0,0,17.4,69.7,1.3714
0,0,17.4,70.1,1.3783
0,0,18.5,65.5,1.3787
0,0,20.6,58.5,1.4054
0,0,23.9,48.7,1.4269
0,0,26,43.8,1.4499
0,0,28.6,37.3,1.4423
0,0,27.9,38,1.4029
0,0,28.4,37.6,1.4282
0,0,28.5,37.3,1.4329
0,0,30.8,31.8,1.3908
0,0,29.7,33.1,1.3546
0,0,27,40.2,1.4158
0,0,25.6,47.5,1.539
0,0,23.9,57.2,1.6774
0,0,22.7,60.8,1.6582
0,0,21.8,59.9,1.5492
0,0,22.4,58.3,1.561
0,0,21.7,60.2,1.5442
0,0,21.2,61.4,1.5258
0,0,19.3,68.4,1.513
0,0,19.8,65.1,1.49
0,0,20,62.9,1.4495
0,0,18.3,68.5,1.4291
0,0,18.1,68.5,1.4067
0,0,17.6,70.5,1.4057
0,0,18.3,67.8,1.4091
0,0,20.4,61.2,1.447
0,0,22.5,55.6,1.499
0,0,25.7,46.4,1.507
0,0,26.8,44.6,1.5467
0,0,26,46.4,1.5414
0,0,26.3,46,1.5478
0,0,27.4,43.9,1.5811
0,0,29.6,36.7,1.4936
0,0,28.7,37.3,1.4486
0,0,25.7,44.1,1.4331
0,0,24.5,49.5,1.5022
0,0,23.3,54.4,1.5386
0,0,22.4,57.9,1.5449
0,0,22.7,55.8,1.5218
0,0,20.4,62.4,1.4758
0,0,20.3,64.2,1.5063
0,0,21.4,60.6,1.5236
0,0,20.3,66.3,1.5657
0,0,20.9,62.2,1.5182
0,0,19.9,66.1,1.5198
0,0,19.8,67.1,1.5305
0,0,20.1,64.4,1.4967
0,0,19.7,66.4,1.5035
0,0,20.9,62.4,1.5226
0,0,22.5,57,1.5314
0,0,23.5,53.4,1.5241
0,0,24.7,48.2,1.4802
0,0,27.1,40.9,1.4405
0,0,25.9,44.2,1.4576
0,0,26.9,41.8,1.4555
0,0,27.2,40.7,1.4481
2.9,267,28.6,37.6,1.4468
5.4,398,28,38.5,1.437
5.3,418,25.2,45.8,1.4464
6.7,515,24,50.6,1.4892
7,669,23.2,54.7,1.5296
2.8,326,22.3,57.1,1.5219
1.7,209,21.8,58.2,1.5036
1.7,183,20.9,61.3,1.4923
1.7,165,20.6,62,1.4827
1.2,111,20.3,62.5,1.472
0.7,67,20.5,62.1,1.4771
0.7,0,18.7,68.5,1.4586
0.8,88,18.2,70.3,1.4498
0.9,147,18.2,70.1,1.4552
1.7,279,18.2,70,1.4519
5.7,665,19.4,66.5,1.4801
4.3,592,19.5,66.9,1.4999
3.9,557,21.1,61.1,1.5056
5.1,693,23.2,54.7,1.5349
3.7,530,24.4,52.5,1.5807
3.3,412,26.4,45.8,1.553
3.6,366,27.7,39.2,1.4356
3.2,344,28,39.6,1.4738
3.5,339,28.7,38.4,1.486
2.4,297,28.5,39.4,1.5147
2.9,294,28.4,39.8,1.5191
2.3,211,26.4,45.9,1.5572
3.1,323,25.2,49.5,1.5665
2.9,333,24.9,50.9,1.5856
1.5,163,24.6,52.2,1.5951
1.5,151,24,54.4,1.6049
1.7,167,23.8,56.1,1.6298
1.6,174,22.3,60.6,1.608
1.3,142,21.9,61.5,1.5967
1.4,155,21.1,64.5,1.594
0.9,0,21,64.4,1.5828
0.9,96,21.3,63.9,1.5951
1.3,154,20.8,66.7,1.6201
1.3,211,20.6,67.5,1.621
2.9,381,20.9,66.3,1.6165
3.2,470,21.5,63.7,1.6186
3.4,464,23.7,56,1.6238
